Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2000-11-08,3400,3460,3280,3410,2645.468506,58215000,2679.085938,2656.329053
2000-11-09,3300,3430,3260,3400,2637.710205,52305000,2650.639893,2668.741797
2000-11-10,3360,3440,3320,3380,2622.194336,35140000,2635.124349,2659.432471
2000-11-13,3220,3260,3100,3150,2443.760986,51070000,2567.888509,2603.575
2000-11-14,3210,3320,3210,3290,2552.372803,31755000,2539.442708,2580.301367
2000-11-15,3450,3460,3320,3390,2629.95166,55720000,2542.028483,2577.197998
2000-11-16,3400,3420,3250,3280,2544.61499,37420000,2575.646484,2558.578955
2000-11-17,3180,3230,3150,3220,2498.066895,36225000,2557.544515,2533.753467
2000-11-20,3160,3210,3100,3100,2404.970947,26795000,2482.550944,2525.995459
2000-11-21,3080,3170,2970,3160,2451.518555,51620000,2451.518799,2505.824609
2000-11-22,3100,3220,3080,3140,2436.003174,37710000,2430.830892,2467.034912
2000-11-23,3140,3260,3140,3210,2490.309326,44645000,2459.277018,2456.173779
2000-11-24,3310,3400,3270,3400,2637.710205,45530000,2521.340902,2484.102441
2000-11-27,3600,3800,3570,3780,2932.513428,100220000,2686.84432,2589.610938
2000-11-28,3650,3650,3500,3520,2730.805908,59770000,2767.009847,2645.468408
2000-11-29,3300,3350,3200,3220,2498.066895,54300000,2720.462077,2657.881152
2000-11-30,3220,3290,3150,3240,2513.58252,63315000,2580.818441,2662.535791
2000-12-01,3080,3220,3040,3180,2467.035645,96425000,2492.89502,2628.400879
2000-12-04,3220,3250,3080,3100,2404.970947,51875000,2461.863037,2522.892383
2000-12-05,3160,3250,3120,3240,2513.58252,58400000,2461.863037,2479.447705
2000-12-06,3410,3430,3210,3210,2490.309326,95890000,2469.620931,2477.896192
2000-12-07,3210,3260,3160,3260,2529.098877,43020000,2510.996908,2480.999463
2000-12-08,3260,3390,3260,3370,2614.436035,47575000,2544.614746,2510.479541
2000-12-11,3480,3630,3480,3580,2777.35376,70575000,2640.296224,2584.956104
2000-12-12,3580,3650,3500,3500,2715.289551,73745000,2702.359782,2625.29751
2000-12-13,3500,3780,3500,3780,2932.513428,84140000,2808.38558,2713.73833
2000-12-14,3620,3680,3560,3620,2808.385986,66965000,2818.729655,2769.595752
2000-12-15,3620,3640,3480,3490,2707.53125,52960000,2816.143555,2788.214795
2000-12-18,3500,3590,3490,3560,2761.837646,34350000,2759.251627,2785.111572
2000-12-19,3560,3570,3510,3530,2738.564209,25445000,2735.977702,2789.766504
2000-12-20,3420,3450,3320,3340,2591.162842,53675000,2697.188232,2721.496387
